cycle,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,time,capacity
0,4.2,-1.975,23.83,1.975,4.3,0,1.9994
0,4.18,-1.965,23.93,1.965,4.28,10,2.0076
0,4.18,-2.068,24.23,2.068,4.28,20,1.9861
0,4.181,-1.977,24.24,1.977,4.281,30,1.999
0,4.13,-1.971,24.16,1.971,4.23,40,1.9867
0,4.115,-2.071,24.22,2.071,4.215,50,1.9821
0,4.136,-1.813,24.5,1.813,4.236,60,1.9869
0,4.105,-1.953,24.16,1.953,4.205,70,1.9756
0,4.066,-2.119,24.43,2.119,4.166,80,1.9785
0,4.072,-1.934,24.32,1.934,4.172,90,1.97
0,4.038,-2.097,24.36,2.097,4.138,100,1.9996
0,4.024,-1.921,24.66,1.921,4.124,110,1.9784
0,4.025,-1.884,24.65,1.884,4.125,120,1.969
0,3.969,-2.082,24.68,2.082,4.069,130,1.9761
0,3.96,-1.904,24.82,1.904,4.06,140,1.9709
0,3.971,-1.959,24.6,1.959,4.071,150,1.9678
0,3.95,-1.918,24.78,1.918,4.05,160,1.9741
0,3.965,-1.81,24.62,1.81,4.065,170,1.9736
0,3.928,-2.025,24.78,2.025,4.028,180,1.9587
0,3.907,-2.075,24.73,2.075,4.007,190,1.9562
0,3.953,-2.089,24.82,2.089,4.053,200,1.9572
0,3.908,-2.082,24.96,2.082,4.008,210,1.935
0,3.904,-2.008,24.72,2.008,4.004,220,1.9408
0,3.863,-1.966,25.34,1.966,3.963,230,1.9677
0,3.87,-1.972,24.76,1.972,3.97,240,1.9684
0,3.873,-1.917,24.76,1.917,3.973,250,1.9475
0,3.838,-1.999,25.27,1.999,3.938,260,1.9538
0,3.859,-1.855,25.24,1.855,3.959,270,1.9491
0,3.83,-2.026,25.24,2.026,3.93,280,1.9748
0,3.827,-1.728,25.29,1.728,3.927,290,1.9532
0,3.811,-1.937,25.2,1.937,3.911,300,1.9387
0,3.851,-2.086,25.06,2.086,3.951,310,1.9284
0,3.805,-2.107,25.3,2.107,3.905,320,1.9199
0,3.776,-1.952,25.18,1.952,3.876,330,1.936
0,3.805,-2.022,25.56,2.022,3.905,340,1.9244
0,3.756,-1.929,25.37,1.929,3.856,350,1.9158
0,3.776,-1.953,25.27,1.953,3.876,360,1.9215
0,3.725,-2.007,25.42,2.007,3.825,370,1.9152
0,3.729,-2.085,25.6,2.085,3.829,380,1.9409
0,3.752,-2.151,25.45,2.151,3.852,390,1.9308
0,3.755,-2.045,25.44,2.045,3.855,400,1.9199
0,3.737,-1.914,25.69,1.914,3.837,410,1.9328
0,3.724,-1.979,25.73,1.979,3.824,420,1.9168
0,3.713,-2.125,25.62,2.125,3.813,430,1.9054
0,3.682,-1.983,25.67,1.983,3.782,440,1.9272
0,3.69,-1.961,25.85,1.961,3.79,450,1.9154
0,3.689,-2.088,25.55,2.088,3.789,460,1.8976
0,3.712,-1.985,25.6,1.985,3.812,470,1.9041
0,3.692,-1.994,25.78,1.994,3.792,480,1.8952
0,3.643,-2.114,25.92,2.114,3.743,490,1.8882
0,3.678,-1.964,26.06,1.964,3.778,500,1.9093
0,3.658,-1.944,26.34,1.944,3.758,510,1.9171
0,3.646,-1.892,26.25,1.892,3.746,520,1.882
0,3.666,-1.895,26.09,1.895,3.766,530,1.8996
0,3.668,-2.138,26.16,2.138,3.768,540,1.8855
0,3.66,-2.094,26.0,2.094,3.76,550,1.8851
0,3.619,-1.948,26.24,1.948,3.719,560,1.8821
0,3.624,-1.949,26.22,1.949,3.724,570,1.8774
0,3.631,-1.948,26.38,1.948,3.731,580,1.8845
0,3.639,-1.615,26.19,1.615,3.739,590,1.8737
0,3.604,-1.943,26.5,1.943,3.704,600,1.8827
0,3.605,-1.886,26.75,1.886,3.705,610,1.8775
0,3.581,-1.905,26.46,1.905,3.681,620,1.8736
0,3.574,-1.935,26.6,1.935,3.674,630,1.8649
0,3.609,-2.032,26.7,2.032,3.709,640,1.8662
0,3.615,-1.924,26.52,1.924,3.715,650,1.8776
0,3.582,-2.077,26.68,2.077,3.682,660,1.873
0,3.598,-2.024,26.68,2.024,3.698,670,1.8562
0,3.581,-2.049,26.74,2.049,3.681,680,1.865
0,3.556,-1.992,26.61,1.992,3.656,690,1.8695
0,3.571,-1.769,26.8,1.769,3.671,700,1.8433
0,3.59,-2.187,26.94,2.187,3.69,710,1.8634
0,3.554,-1.931,27.17,1.931,3.654,720,1.8494
0,3.582,-2.161,27.11,2.161,3.682,730,1.8597
0,3.494,-2.047,27.39,2.047,3.594,740,1.8444
0,3.558,-1.891,26.85,1.891,3.658,750,1.832
0,3.539,-1.994,27.21,1.994,3.639,760,1.8317
0,3.528,-2.108,27.12,2.108,3.628,770,1.8465
0,3.531,-2.072,27.56,2.072,3.631,780,1.8466
0,3.486,-1.932,27.0,1.932,3.586,790,1.833
0,3.517,-2.073,27.03,2.073,3.617,800,1.8464
0,3.524,-1.978,27.12,1.978,3.624,810,1.8214
0,3.543,-1.995,26.86,1.995,3.643,820,1.8353
0,3.499,-2.065,27.21,2.065,3.599,830,1.8219
0,3.489,-1.786,27.21,1.786,3.589,840,1.8255
0,3.492,-1.937,27.43,1.937,3.592,850,1.8305
0,3.516,-2.203,27.51,2.203,3.616,860,1.8194
0,3.501,-1.981,27.86,1.981,3.601,870,1.8222
0,3.48,-2.066,27.71,2.066,3.58,880,1.8341
0,3.497,-1.915,27.44,1.915,3.597,890,1.8162
0,3.485,-2.079,27.42,2.079,3.585,900,1.8284
0,3.499,-2.011,27.74,2.011,3.599,910,1.8067
0,3.462,-1.95,27.42,1.95,3.562,920,1.8213
0,3.466,-1.913,28.09,1.913,3.566,930,1.8284
0,3.461,-2.12,28.0,2.12,3.561,940,1.7873
