hidden,lam,auc,spearman,abs_spearman,min_auc_spearman,time_s
16,0.0,0.3480,+0.2157,0.2157,0.2157,2.29
16,0.3,0.2183,+0.4226,0.4226,0.2183,1.47
16,0.5,0.3488,+0.2270,0.2270,0.2270,2.34
16,0.7,0.3482,+0.2156,0.2156,0.2156,1.97
16,1.0,0.2854,+0.3062,0.3062,0.2854,2.02
32x16,0.0,0.0090,+0.8789,0.8789,0.0090,10.37
32x16,0.3,0.6856,-0.1518,0.1518,0.1518,10.96
32x16,0.5,0.6925,-0.1711,0.1711,0.1711,9.90
32x16,0.7,0.6880,-0.1767,0.1767,0.1767,9.77
32x16,1.0,0.6946,-0.2655,0.2655,0.2655,9.34
64x32x16,0.0,0.1626,+0.5008,0.5008,0.1626,20.40
64x32x16,0.3,0.1379,+0.5333,0.5333,0.1379,19.07
64x32x16,0.5,0.2273,+0.3784,0.3784,0.2273,19.44
64x32x16,0.7,0.2185,+0.3902,0.3902,0.2185,19.03
64x32x16,1.0,0.2027,+0.4172,0.4172,0.2027,18.67
